 ----  |                      Name                       |  $$$$  | ANdiv | divY%  |        Sector         |                            industry                            
 HOFT  | Hooker Furniture Corporation                    | 20.180 | 0.600 |  3.256 | Consumer Durables     | Home Furnishings
 OCFC  | OceanFirst Financial Corp.                      | 23.400 | 0.680 |  3.251 | Finance               | Savings Institutions
 LSBK  | Lake Shore Bancorp, Inc.                        | 14.750 | 0.480 |  3.241 | Finance               | Savings Institutions
 FLIC  | The First of Long Island Corporation            | 21.740 | 0.680 |  3.226 | Finance               | Major Banks
 STND  | Standard AVB Financial Corp.                    | 27.279 | 0.884 |  3.217 | Finance               | Major Banks
 FGBI  | First Guaranty Bancshares, Inc.                 | 21.060 | 0.640 |  3.200 | Finance               | Savings Institutions
 BRKL  | Brookline Bancorp, Inc.                         | 14.250 | 0.440 |  3.198 | Finance               | Savings Institutions
 VALU  | Value Line, Inc.                                | 25.180 | 0.800 |  3.190 | Finance               | Investment Managers
 SAL   | Salisbury Bancorp, Inc.                         | 38.000 | 1.120 |  3.176 | Finance               | Savings Institutions
 UVSP  | Univest Financial Corporation                   | 26.500 | 0.800 |  3.146 | Finance               | Major Banks
 ONB   | Old National Bancorp                            | 17.130 | 0.520 |  3.138 | Finance               | Major Banks
 BSRR  | Sierra Bancorp                                  | 25.110 | 0.760 |  3.133 | Finance               | Major Banks
 TBNK  | Territorial Bancorp Inc.                        | 28.760 | 0.880 |  3.133 | Finance               | Savings Institutions
 SGC   | Superior Group of Companies, Inc.               | 15.720 | 0.400 |  3.125 | Consumer Non-Durables | Apparel
 MPB   | Mid Penn Bancorp                                | 25.070 | 0.720 |  3.122 | Finance               | Major Banks
 STBA  | S&T Bancorp, Inc.                               | 36.490 | 1.080 |  3.121 | Finance               | Major Banks
 RECN  | Resources Connection, Inc.                      | 17.780 | 0.520 |  3.119 | Miscellaneous         | Business Services
 HWC   | Hancock Whitney Corporation                     | 38.530 | 1.080 |  3.103 | Finance               | Major Banks
 PPBI  | Pacific Premier Bancorp Inc                     | 29.200 | 0.880 |  3.103 | Finance               | Major Banks
 VIAB  | Viacom Inc.                                     | 29.780 | 0.800 |  3.083 | Consumer Services     | Television Services
 FCBC  | First Community Bankshares, Inc.                | 33.270 | 1.000 |  3.051 | Finance               | Major Banks
 PKBK  | Parke Bancorp, Inc.                             | 22.740 | 0.640 |  3.027 | Finance               | Major Banks
 BMTC  | Bryn Mawr Bank Corporation                      | 35.290 | 1.040 |  3.017 | Finance               | Major Banks
 FAST  | Fastenal Company                                | 29.620 | 0.880 |  3.006 | Consumer Services     | RETAIL: Building Materials
 HBNC  | Horizon Bancorp, Inc.                           | 16.900 | 0.480 |  3.000 | Finance               | Major Banks
 NWFL  | Norwood Financial Corp.                         | 34.160 | 0.960 |  2.986 | Finance               | Major Banks
 HOMB  | Home BancShares, Inc.                           | 18.500 | 0.520 |  2.978 | Finance               | Major Banks
 FMBI  | First Midwest Bancorp, Inc.                     | 20.390 | 0.560 |  2.965 | Finance               | Major Banks
 TACT  | TransAct Technologies Incorporated              | 12.710 | 0.360 |  2.965 | Technology            | Computer peripheral equipment
 NBTB  | NBT Bancorp Inc.                                | 37.200 | 1.040 |  2.963 | Finance               | Major Banks
 HAYN  | Haynes International, Inc.                      | 29.290 | 0.880 |  2.962 | Capital Goods         | Steel/Iron Ore
 CVLY  | Codorus Valley Bancorp, Inc                     | 22.760 | 0.640 |  2.953 | Finance               | Savings Institutions
 FRME  | First Merchants Corporation                     | 37.890 | 1.040 |  2.925 | Finance               | Major Banks
 SYBT  | Stock Yards Bancorp, Inc.                       | 37.400 | 1.040 |  2.908 | Finance               | Major Banks
 WSBF  | Waterstone Financial, Inc.                      | 16.620 | 0.480 |  2.906 | Finance               | Savings Institutions
 ACNB  | ACNB Corporation                                | 37.240 | 1.000 |  2.899 | Finance               | Major Banks
 AMNB  | American National Bankshares, Inc.              | 35.610 | 1.000 |  2.897 | Finance               | Major Banks
 NFBK  | Northfield Bancorp, Inc.                        | 15.400 | 0.440 |  2.893 | Finance               | Savings Institutions
 VIA   | Viacom Inc.                                     | 34.590 | 0.800 |  2.888 | Consumer Services     | Television Services
 CLCT  | Collectors Universe, Inc.                       | 23.460 | 0.700 |  2.862 | Miscellaneous         | Business Services
 STAF  | Staffing 360 Solutions, Inc.                    |  1.570 | 0.040 |  2.857 | Technology            | Professional Services
 FDEF  | First Defiance Financial Corp.                  | 28.020 | 0.760 |  2.856 | Finance               | Savings Institutions
 AUB   | Atlantic Union Bankshares Corporation           | 36.600 | 1.000 |  2.850 | Finance               | Major Banks
 HFWA  | Heritage Financial Corporation                  | 27.160 | 0.760 |  2.841 | Finance               | Banks
 AIMC  | Altra Industrial Motion Corp.                   | 26.380 | 0.680 |  2.836 | Capital Goods         | Industrial Machinery/Components
 PFIN  | P & F Industries, Inc.                          |  8.000 | 0.200 |  2.833 | Technology            | Industrial Machinery/Components
 ORRF  | Orrstown Financial Services Inc                 | 21.710 | 0.600 |  2.829 | Finance               | Major Banks
 QTRH  | Quarterhill Inc.                                |  1.230 | 0.038 |  2.829 | Miscellaneous         | Multi-Sector Companies
 MCBC  | Macatawa Bank Corporation                       | 10.100 | 0.280 |  2.825 | Finance               | Major Banks
 POWL  | Powell Industries, Inc.                         | 36.400 | 1.040 |  2.806 | Consumer Durables     | Electrical Products
 ANDE  | The Andersons, Inc.                             | 25.690 | 0.680 |  2.790 | Consumer Services     | Farming/Seeds/Milling
 MOFG  | MidWestOne Financial Group, Inc.                | 29.770 | 0.810 |  2.789 | Finance               | Major Banks
 DCOM  | Dime Community Bancshares, Inc.                 | 20.010 | 0.560 |  2.781 | Finance               | Savings Institutions
 ARTNA | Artesian Resources Corporation                  | 35.640 | 0.984 |  2.767 | Public Utilities      | Water Supply
 TRMK  | Trustmark Corporation                           | 34.760 | 0.920 |  2.766 | Finance               | Major Banks
 FNCB  | FNCB Bancorp Inc.                               |  7.300 | 0.200 |  2.762 | Finance               | Major Banks
 PROV  | Provident Financial Holdings, Inc.              | 20.580 | 0.560 |  2.752 | Finance               | Savings Institutions
 ESSA  | ESSA Bancorp, Inc.                              | 14.610 | 0.400 |  2.747 | Finance               | Banks
 JRSH  | Jerash Holdings (US), Inc.                      |  6.968 | 0.200 |  2.740 | Consumer Non-Durables | Apparel
 RNST  | Renasant Corporation                            | 33.970 | 0.880 |  2.740 | Finance               | Major Banks
 STRT  | Strattec Security Corporation                   | 21.000 | 0.560 |  2.701 | Capital Goods         | Auto Parts:O.E.M.
 RUTH  | Ruth&#39;s Hospitality Group, Inc.              | 20.840 | 0.520 |  2.674 | Consumer Services     | Restaurants
 SFNC  | Simmons First National Corporation              | 24.980 | 0.640 |  2.656 | Finance               | Major Banks
 FFNW  | First Financial Northwest, Inc.                 | 14.500 | 0.360 |  2.653 | Finance               | Major Banks
 MATW  | Matthews International Corporation              | 31.600 | 0.800 |  2.644 | Capital Goods         | Metal Fabrications
 UCBI  | United Community Banks, Inc.                    | 27.240 | 0.680 |  2.642 | Finance               | Major Banks
 SHBI  | Shore Bancshares Inc                            | 16.000 | 0.400 |  2.630 | Finance               | Major Banks
 FMNB  | Farmers National Banc Corp.                     | 14.220 | 0.360 |  2.616 | Finance               | Major Banks
 TSBK  | Timberland Bancorp, Inc.                        | 26.060 | 0.600 |  2.608 | Finance               | Banks
 CALM  | Cal-Maine Foods, Inc.                           | 39.910 | 1.088 |  2.602 | Consumer Non-Durables | Farming/Seeds/Milling
 CCNE  | CNB Financial Corporation                       | 27.510 | 0.680 |  2.585 | Finance               | Major Banks
 BLMN  | Bloomin&#39; Brands, Inc.                       | 17.220 | 0.400 |  2.579 | Consumer Services     | Restaurants
 SKIS  | Peak Resorts, Inc.                              | 10.860 | 0.280 |  2.567 | Consumer Services     | Hotels/Resorts
 FBIZ  | First Business Financial Services, Inc.         | 23.420 | 0.600 |  2.559 | Finance               | Major Banks
 CFFN  | Capitol Federal Financial, Inc.                 | 13.210 | 0.340 |  2.558 | Finance               | Savings Institutions
 EMCI  | EMC Insurance Group Inc.                        | 35.900 | 0.920 |  2.540 | Finance               | Property-Casualty Insurers
 GWRS  | Global Water Resources, Inc.                    | 13.150 | 0.286 |  2.516 | Public Utilities      | Water Supply
 SLVO  | Credit Suisse AG                                |  7.025 | 0.180 |  2.514 | Finance               | Investment Bankers/Brokers/Service
 UBOH  | United Bancshares, Inc.                         | 21.660 | 0.520 |  2.512 | Finance               | Major Banks
 AUBN  | Auburn National Bancorporation, Inc.            | 39.900 | 1.000 |  2.506 | Finance               | Major Banks
 MFSF  | MutualFirst Financial Inc.                      | 32.100 | 0.800 |  2.500 | Finance               | Major Banks
 SONA  | Southern National Bancorp of Virginia, Inc.     | 15.380 | 0.360 |  2.497 | Finance               | Major Banks
 OVBC  | Ohio Valley Banc Corp.                          | 33.740 | 0.840 |  2.476 | Finance               | Major Banks
 WAFD  | Washington Federal, Inc.                        | 35.310 | 0.840 |  2.474 | Finance               | Major Banks
 RVSB  | Riverview Bancorp Inc                           |  7.880 | 0.180 |  2.466 | Finance               | Savings Institutions
 PBBI  | PB Bancorp, Inc.                                | 11.400 | 0.280 |  2.456 | Finance               | Savings Institutions
 TIPT  | Tiptree Inc.                                    |  6.680 | 0.160 |  2.439 | Finance               | Property-Casualty Insurers
 MRLN  | Marlin Business Services Corp.                  | 23.660 | 0.560 |  2.437 | Finance               | Major Banks
 FNHC  | FedNat Holding Company                          | 12.010 | 0.320 |  2.435 | Finance               | Property-Casualty Insurers
 BELFB | Bel Fuse Inc.                                   | 11.420 | 0.280 |  2.426 | Capital Goods         | Electrical Products
 FCCO  | First Community Corporation                     | 19.330 | 0.440 |  2.419 | Finance               | Major Banks
 ASRV  | AmeriServ Financial Inc.                        |  4.140 | 0.100 |  2.416 | Finance               | Major Banks
 FMAO  | Farmers & Merchants Bancorp, Inc.               | 25.110 | 0.600 |  2.400 | Finance               | Savings Institutions
