Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
BPR,Brookfield Property REIT Inc.,19,1.32,6.8394,05/30/2019,06/28/2019,
BPRN,The Bank of Princeton,27.32,0.12,0.4384,05/09/2019,05/31/2019,
BRKL,Brookline Bancorp Inc.,14.25,0.44,3.0726,05/09/2019,05/24/2019,
BRKR,Bruker Corporation,41.57,0.16,0.3431,05/31/2019,06/21/2019,
BRKS,Brooks Automation Inc.,32.69,0.4,1.0588,06/06/2019,06/28/2019,
BRY,Berry Petroleum Corporation,8.99,0.48,5.3097,06/13/2019,07/15/2019,
BSET,Bassett Furniture Industries Incorporated,12.51,0.5,3.937,05/16/2019,05/31/2019,
BSRR,Sierra Bancorp,25.11,0.76,3.0279,07/31/2019,08/15/2019,
BUSE,First Busey Corporation,26.05,0.84,3.1951,07/18/2019,07/26/2019,
BWFG,Bankwell Financial Group Inc.,27.51,0.52,1.8479,05/13/2019,05/24/2019,
CAC,Camden National Corporation,43.18,1.2,2.7422,07/12/2019,07/31/2019,
CAKE,The Cheesecake Factory Incorporated,42.38,1.32,2.9837,05/15/2019,05/29/2019,
CALM,Cal-Maine Foods Inc.,39.91,1.088,2.733,04/30/2019,05/16/2019,
CARO,Carolina Financial Corporation,33.98,0.36,1.048,06/13/2019,07/05/2019,
CARZ,First Trust Exchange-Traded Fund II,30.9301,1.8796,5.967,06/14/2019,06/28/2019,
CASH,Meta Financial Group Inc.,30.27,0.2,0.6553,06/07/2019,07/01/2019,
CASS,Cass Information Systems Inc,50.85,1.04,2.0476,06/03/2019,06/14/2019,
CASY,Caseys General Stores Inc.,163.64,1.28,0.7887,07/31/2019,08/15/2019,
CATC,Cambridge Bancorp,79.67,2.04,2.5885,07/31/2019,08/15/2019,
CATH,Global X Funds,35.86,0.498264,1.3813,06/27/2019,07/08/2019,
CATY,Cathay General Bancorp,35.26,1.24,3.4705,05/31/2019,06/13/2019,
CBAN,Colony Bankcorp Inc.,16.13,0.3,1.8105,07/30/2019,08/15/2019,
CBFV,CB Financial Services Inc.,24.14,0.96,3.9834,06/07/2019,06/20/2019,
CBRL,Cracker Barrel Old Country Store Inc.,172.25,5.2,10.0262,07/18/2019,,
CBSH,Commerce Bancshares Inc.,58.39,1.04,1.7612,06/06/2019,06/24/2019,
CBTX,CBTX Inc.,29.43,0.4,1.3347,06/28/2019,07/15/2019,
CCBG,Capital City Bank Group,25.29,0.44,1.7467,06/07/2019,06/24/2019,
CCD,Calamos Dynamic Convertible & Income Fund,20.53,2.004,9.6765,07/11/2019,07/19/2019,
CCLP,CSI Compressco LP,3.6,0.04,1.0929,07/31/2019,08/14/2019,
CCMP,Cabot Microelectronics Corporation,116.09,1.68,1.4021,06/24/2019,07/30/2019,
CCNE,CNB Financial Corporation,27.51,0.68,2.4113,05/30/2019,06/14/2019,
CCOI,Cogent Communications Holdings Inc.,63.57,2.4,3.8132,05/16/2019,05/31/2019,
CDC,Victory Portfolios II,45.08,1.993428,4.3966,07/17/2019,07/19/2019,
CDK,CDK Global Inc.,50.66,0.6,1.1619,05/31/2019,06/27/2019,
CDL,Victory Portfolios II,46.78,1.966464,4.1891,07/17/2019,07/19/2019,
CDW,CDW Corporation,116.34,1.18,0.9956,05/23/2019,06/11/2019,
CERN,Cerner Corporation,70.97,0.72,1.001,06/17/2019,07/26/2019,
CEY,Victory Portfolios II,23.0113,3.415704,14.7038,07/17/2019,07/19/2019,
CEZ,Victory Portfolios II,24.8999,1.975932,7.7609,07/17/2019,07/19/2019,
CFA,Victory Portfolios II,52.09,0.949668,1.8085,07/17/2019,07/19/2019,
CFFI,C&F Financial Corporation,53.94,1.48,2.7443,06/13/2019,07/01/2019,
CFFN,Capitol Federal Financial Inc.,13.21,0.34,2.5895,08/01/2019,08/16/2019,
CFO,Victory Portfolios II,48.48,0.93936,1.9202,07/17/2019,07/19/2019,
CG,The Carlyle Group L.P.,22.95,0.76,3.2646,05/10/2019,05/21/2019,
CGBD,TCG BDC Inc.,14.94,1.48,11.992,06/27/2019,07/17/2019,
CGNX,Cognex Corporation,42.03,0.2,0.4607,05/16/2019,05/31/2019,
CGO,Calamos Global Total Return Fund,12.85,1.2,9.3458,07/11/2019,07/19/2019,
CHCO,City Holding Company,75.11,2.12,2.8083,07/12/2019,07/31/2019,
CHI,Calamos Convertible Opportunities and Income Fund,10.66,0.96,8.9552,07/11/2019,07/19/2019,
CHMG,Chemung Financial Corp,43.31,1.04,2.4158,06/14/2019,07/01/2019,
CHRW,C.H. Robinson Worldwide Inc.,81.66,2,2.4691,06/06/2019,06/28/2019,
CHW,Calamos Global Dynamic Income Fund,7.99,0.84,10.4738,07/11/2019,07/19/2019,
CHY,Calamos Convertible and High Income Fund,11.36,1.02,8.9474,07/11/2019,07/19/2019,
CIBR,First Trust Exchange-Traded Fund II,29.16,0.0736,0.2481,06/14/2019,06/28/2019,
CID,Victory Portfolios II,31.204,1.523748,4.8558,07/17/2019,07/19/2019,
CIL,Victory Portfolios II,37.12,0.92292,2.4863,07/17/2019,07/19/2019,
CINF,Cincinnati Financial Corporation,106.25,2.24,2.1074,06/18/2019,07/15/2019,
CIVB,Civista Bancshares Inc. ,21.12,0.44,2.0638,07/22/2019,08/01/2019,
CIZ,Victory Portfolios II,30.84,0.736584,2.3684,07/17/2019,07/19/2019,
CIZN,Citizens Holding Company,20.7641,0.96,4.6234,06/13/2019,06/28/2019,
CLAR,Clarus Corporation,14.01,0.1,0.7143,08/02/2019,08/16/2019,
CLCT,Collectors Universe Inc.,23.46,0.7,2.9902,05/16/2019,05/31/2019,
CLDB,Cortland Bancorp,23.1,0.44,1.8379,05/10/2019,06/03/2019,
CLRG,IndexIQ ETF Trust,24.77,0.42068,1.6471,06/24/2019,06/28/2019,
CMCO,Columbus McKinnon Corporation,37.05,0.24,0.6531,05/02/2019,05/13/2019,
CMCSA,Comcast Corporation,42.65,0.84,1.959,07/02/2019,07/24/2019,
CMCT,CIM Commercial Trust Corporation,20.7,0.5,2.4594,06/13/2019,06/27/2019,
CME,CME Group Inc.,205.16,3,1.4955,06/07/2019,06/25/2019,
CMFN,CM Finance Inc,7.4,1,13.6893,06/13/2019,07/05/2019,
CMTL,Comtech Telecommunications Corp.,28.82,0.4,1.3541,07/16/2019,08/16/2019,
CNBKA,Century Bancorp Inc.,82.58,0.48,0.5846,07/31/2019,08/15/2019,
CNMD,CONMED Corporation,92.38,0.8,0.8531,06/13/2019,07/05/2019,
CNOB,ConnectOne Bancorp Inc.,21.69,0.36,1.6446,07/12/2019,08/01/2019,
COHU,Cohu Inc.,14.92,0.24,1.5615,06/13/2019,07/26/2019,
COKE,Coca-Cola Consolidated Inc.,292.6,1,0.3468,07/25/2019,08/09/2019,
COLB,Columbia Banking System Inc.,35.67,1.12,4.637,05/07/2019,05/22/2019,
COLM,Columbia Sportswear Company,101.9,0.96,0.9317,05/15/2019,05/30/2019,
CONE,CyrusOne Inc,63.02,1.84,2.963,06/27/2019,07/12/2019,
CORE,Core-Mark Holding Company Inc.,35.06,0.44,1.2401,05/22/2019,06/14/2019,
COST,Costco Wholesale Corporation,272.5,2.6,0.9469,05/09/2019,05/24/2019,
CPHC,Canterbury Park Holding Corporation,11.93,0.28,2.297,06/27/2019,07/15/2019,
CPLP,Capital Product Partners L.P.,11.14,1.26,11.25,08/01/2019,08/15/2019,
CPSI,Computer Programs and Systems Inc.,25.59,0.4,1.5528,05/15/2019,05/31/2019,
CPTA,Capitala Finance Corp.,9.56,0.9996,10.489,07/22/2019,07/30/2019,
CRAI,CRA InternationalInc.,40.71,0.8,1.9488,05/24/2019,06/14/2019,
CRWS,Crown Crafts Inc.,4.72,0.32,6.9565,06/13/2019,07/05/2019,
CSA,Victory Portfolios II,45.1,0.553776,1.2171,07/17/2019,07/19/2019,
CSB,Victory Portfolios II,43.37,1.411632,3.2214,07/17/2019,07/19/2019,
CSCO,Cisco Systems Inc.,53.25,1.4,2.5275,07/03/2019,07/24/2019,
CSF,Victory Portfolios II,37.0465,0.682128,1.8239,07/17/2019,07/19/2019,
CSFL,CenterState Bank Corporation,22.87,0.44,1.899,06/13/2019,06/28/2019,
CSGS,CSG Systems International Inc.,50.28,0.89,1.7396,06/03/2019,06/19/2019,
CSML,IndexIQ ETF Trust,24.84,0.42628,1.7024,06/24/2019,06/28/2019,
CSPI,CSP Inc.,14.6635,0.6,4.4444,05/30/2019,06/14/2019,
CSQ,Calamos Strategic Total Return Fund,12.86,0.99,7.6389,07/11/2019,07/19/2019,
CSTR,CapStar Financial Holdings Inc.,15.74,0.2,1.2523,05/09/2019,05/24/2019,
CSWI,CSW Industrials Inc.,68.72,0.54,0.7783,07/29/2019,08/15/2019,
CSX,CSX Corporation,67.12,0.96,1.4163,05/30/2019,06/14/2019,
CTBI,Community Trust Bancorp Inc.,41.15,1.44,3.4918,06/13/2019,07/01/2019,
CTRE,CareTrust REIT Inc.,23.15,0.9,3.8995,06/27/2019,07/15/2019,
CTRN,Citi Trends Inc.,15,0.32,2.152,06/03/2019,06/18/2019,
CTSH,Cognizant Technology Solutions Corporation,63.49,0.8,1.2046,05/21/2019,05/31/2019,
CTWS,Connecticut Water Service Inc.,69.87,1.31,1.8781,05/31/2019,06/17/2019,
CTXS,Citrix Systems Inc.,93.54,1.4,1.4854,06/06/2019,06/21/2019,
CVBF,CVB Financial Corporation,21.04,0.72,3.3708,07/02/2019,07/18/2019,
CVCY,Central Valley Community Bancorp,20.21,0.44,2.1411,08/01/2019,08/16/2019,
CVLY,Codorus Valley Bancorp Inc,22.76,0.64,2.7766,07/22/2019,08/13/2019,
CWBC,Community West Bancshares,9.8,0.22,2.2869,05/09/2019,05/31/2019,
CXSE,WisdomTree Trust,70.415,1.42,1.9905,06/24/2019,06/28/2019,
CY,Cypress Semiconductor Corporation,22.82,0.44,1.9164,06/26/2019,07/18/2019,
CZNC,Citizens & Northern Corp,24.43,1.08,4.3079,07/26/2019,08/09/2019,
DAKT,Daktronics Inc.,6.22,0.2,3.2154,06/07/2019,06/20/2019,
DALI,First Trust Exchange-Traded Fund VI,20.181,0.01,0.0487,06/14/2019,06/28/2019,
DAX,Global X Funds,25.528,1.3822,5.4144,06/27/2019,07/08/2019,
DCOM,Dime Community Bancshares Inc.,20.01,0.56,2.8,05/07/2019,05/15/2019,
DDIV,First Trust Exchange-Traded Fund VI,25.215,0.944,3.7357,06/14/2019,06/28/2019,
DGICA,Donegal Group Inc.,14.08,0.58,4.0166,07/31/2019,08/15/2019,
DGICB,Donegal Group Inc.,13.76,0.51,3.7064,07/31/2019,08/15/2019,
DGRE,WisdomTree Trust,23.3303,0.82,3.4833,06/24/2019,06/28/2019,
DGRS,WisdomTree Trust,34.65,0.48,1.3683,07/23/2019,07/26/2019,
DGRW,WisdomTree Trust,43.76,0.72,1.633,07/23/2019,07/26/2019,
DMLP,Dorchester Minerals L.P.,17.84,2.060064,11.4767,07/26/2019,08/08/2019,
DNBF,DNB Financial Corp,43.61,0.28,0.6308,06/04/2019,06/18/2019,
DNKN,Dunkin' Brands Group Inc.,80.64,1.5,1.8997,05/31/2019,06/12/2019,
DRIV,Global X Funds,12.86,0.22406,1.7104,06/27/2019,07/08/2019,
DSWL,Deswell Industries Inc.,2.71,0.14,5.1661,06/24/2019,07/12/2019,
DVLU,First Trust Exchange-Traded Fund VI,18.33,0.314,1.7019,06/14/2019,06/28/2019,
DVOL,First Trust Exchange-Traded Fund VI,21.9552,0.3276,1.4979,06/14/2019,06/28/2019,
DVY,iShares Trust,98.76,3.529184,3.5559,06/17/2019,06/21/2019,
DWFI,SPDR Series Trust,23.45,0.918576,3.9125,08/01/2019,08/07/2019,
DWIN,Invesco Exchange-Traded Fund Trust II,25.645,1.35048,5.2679,07/22/2019,07/31/2019,
DWPP,First Trust Exchange-Traded Fund,30.79,0.3184,1.0268,06/14/2019,06/28/2019,
DWTR,Invesco Exchange-Traded Fund Trust II,31.9,0.1778,0.5518,06/24/2019,06/28/2019,
DXGE,WisdomTree Trust,28.54,3.24,11.1017,06/24/2019,06/28/2019,
DXJS,WisdomTree Trust,36.5999,1.73936,4.6707,06/24/2019,06/28/2019,
EBAY,eBay Inc.,40.58,0.56,1.3625,05/30/2019,06/20/2019,
EBIX,Ebix Inc.,43.19,0.3,0.6754,05/30/2019,06/14/2019,
EBMT,Eagle Bancorp Montana Inc.,17.55,0.37,2.1387,05/16/2019,06/07/2019,
EBSB,Meridian Bancorp Inc.,17.89,0.28,1.5512,06/17/2019,07/02/2019,
EBTC,Enterprise Bancorp Inc,29.26,0.64,2.1695,05/10/2019,06/03/2019,
ECOL,US Ecology Inc.,62.99,0.72,1.1432,07/18/2019,07/26/2019,
ECOW,Pacer Funds,23.9705,1.397428,5.7578,06/25/2019,06/27/2019,
EEI,Ecology and Environment Inc.,10.5576,0.4,3.7771,08/02/2019,08/12/2019,
EEMA,iShares Inc.,62.46,0.614722,0.9765,06/17/2019,06/21/2019,
EFAS,Global X Funds,15.2613,0.93,6.039,07/03/2019,07/12/2019,
EFSC,Enterprise Financial Services Corporation,39.67,0.6,1.4929,06/13/2019,06/28/2019,
EGBN,Eagle Bancorp Inc.,38.85,0.88,2.2786,05/30/2019,06/14/2019,
EGOV,NIC Inc.,22.06,0.32,1.4141,06/10/2019,06/25/2019,
EMB,iShares Trust,113.68,5.019984,4.4132,08/01/2019,08/07/2019,
EMCB,WisdomTree Trust,73.4478,3.18,4.3657,07/23/2019,07/26/2019,
EMCF,Emclaire Financial Corp,35.9512,1.16,3.5035,05/31/2019,06/21/2019,
EMCG,WisdomTree Trust,21.54,0.46,2.1043,06/24/2019,06/28/2019,
EMCI,EMC Insurance Group Inc.,35.9,0.92,2.5598,06/03/2019,06/11/2019,
EMIF,iShares Trust,28.48,0.828412,2.8351,06/17/2019,06/21/2019,
EML,Eastern Company (The),23.44,0.44,1.8144,05/14/2019,06/14/2019,
EMXC,iShares Inc.,47.2803,0.478292,1,06/17/2019,06/21/2019,
ENSG,The Ensign Group Inc.,54.06,0.19,0.3261,06/27/2019,07/31/2019,
ENTG,Entegris Inc.,41.54,0.32,0.7556,07/30/2019,08/21/2019,
ENZL,iShares Trust,54.14,1.519112,2.7894,06/17/2019,06/21/2019,
EQIX,Equinix Inc.,524.09,9.84,1.8824,05/21/2019,06/19/2019,
EQRR,ProShares Trust,38.91,0.730108,1.8225,06/25/2019,07/02/2019,
ERIE,Erie Indemnity Company,223.35,3.6,1.6284,07/08/2019,07/23/2019,
ESBK,Elmira Savings Bank NY (The),14.7584,0.92,6.1704,06/04/2019,06/12/2019,
ESCA,Escalade Incorporated,11.11,0.5,4.4053,05/31/2019,06/10/2019,
ESGD,iShares Trust,62.34,2.343902,3.7234,06/17/2019,06/21/2019,
ESGE,iShares Inc.,32.3,0.520806,1.6064,06/17/2019,06/21/2019,
ESGG,FlexShares Trust,97.6725,3.076608,3.088,06/21/2019,06/27/2019,
ESGU,iShares Trust,64.2251,1.177196,1.808,06/17/2019,06/21/2019,
ESSA,ESSA Bancorp Inc.,14.61,0.4,2.6631,06/13/2019,06/28/2019,
ESXB,Community Bankers Trust Corporation.,7.8,0.12,1.5385,06/20/2019,07/01/2019,
ETFC,E*TRADE Financial Corporation,46.08,0.56,1.1915,05/10/2019,05/20/2019,
EUFN,iShares Trust,17.13,1.410358,8.1382,06/17/2019,06/21/2019,
EVGBC,Eaton Vance NextShares Trust,99.99,0.3828,0.3828,08/01/2019,08/06/2019,
EVLMC,Eaton Vance NextShares Trust II,99.96,0.2424,0.2425,08/01/2019,08/06/2019,
EWBC,East West Bancorp Inc.,43.8,1.1,2.4725,07/31/2019,08/15/2019,
EWJE,iShares Trust,33.19,0.912016,2.7479,06/17/2019,06/21/2019,
EWJV,iShares Trust,24.19,0.91015,3.7625,06/17/2019,06/21/2019,
EWZS,iShares Trust,18.12,0.452294,2.4689,06/17/2019,06/21/2019,
EXPD,Expeditors International of Washington Inc.,73.18,1,1.3639,05/31/2019,06/17/2019,
EXPE,Expedia Group Inc.,129.17,1.28,0.9741,05/22/2019,06/13/2019,
EXPO,Exponent Inc.,67.32,0.64,0.9402,06/06/2019,06/21/2019,
FAB,First Trust Exchange-Traded AlphaDEX Fund,52.3,0.8,1.5126,06/14/2019,06/28/2019,
FAD,First Trust Exchange-Traded AlphaDEX Fund,74.5,0.12,0.1594,06/14/2019,06/28/2019,
FALN,iShares Trust,26.665,1.51458,5.7046,08/01/2019,08/07/2019,
FAST,Fastenal Company,29.62,0.88,2.97,07/24/2019,08/22/2019,
FBIZ,First Business Financial Services Inc.,23.42,0.6,2.5413,08/02/2019,08/15/2019,
FBMS,The First Bancshares Inc.,32.56,0.32,0.9753,05/09/2019,05/24/2019,
FBNC,First Bancorp,35.73,0.48,1.3267,06/27/2019,07/25/2019,
FBSS,Fauquier Bankshares Inc.,20.99,0.48,2.3133,06/13/2019,07/01/2019,
FBZ,First Trust Exchange-Traded AlphDEX Fund II,16.71,0.5796,3.4326,06/14/2019,06/28/2019,
FCA,First Trust Exchange-Traded AlphDEX Fund II,23.9992,1.6552,6.9284,06/14/2019,06/28/2019,
FCAL,First Trust Exchange-Traded Fund III,52.9411,1.5,2.8361,07/23/2019,07/31/2019,
FCAN,First Trust Exchange-Traded AlphDEX Fund II,22.99,0.3088,1.3345,06/14/2019,06/28/2019,
FCAP,First Capital Inc.,56.35,0.96,1.6973,06/13/2019,06/28/2019,
FCBC,First Community Bankshares Inc.,33.27,1,3.0798,08/01/2019,08/16/2019,
FCBP,First Choice Bancorp,22.1,0.8,3.6215,05/08/2019,05/23/2019,
FCCO,First Community Corporation,19.33,0.44,2.3268,07/26/2019,08/12/2019,
FCCY,1st Constitution Bancorp (NJ),17.62,0.3,1.6732,05/10/2019,05/24/2019,
FCEF,First Trust Exchange-Traded Fund VIII,21.9706,1.17,5.2798,07/11/2019,07/31/2019,
FCFS,FirstCash Inc.,100.02,1,0.994,05/14/2019,05/31/2019,
FCNCA,First Citizens BancShares Inc.,445.9,1.6,0.3547,06/14/2019,07/01/2019,
FCVT,First Trust Exchange-Traded Fund IV,31.55,0.48,1.5147,07/23/2019,07/31/2019,
FDBC,Fidelity D & D Bancorp Inc.,64.72,1.04,1.5686,05/17/2019,06/10/2019,
FDEF,First Defiance Financial Corp.,28.02,0.76,2.6817,05/16/2019,05/24/2019,
FDIV,First Trust Exchange-Traded Fund IV,51.75,1.98,3.9325,07/23/2019,07/31/2019,
FDNI,First Trust Exchange-Traded Fund II,21.63,0.044,0.2011,06/14/2019,06/28/2019,
FDT,First Trust Exchange-Traded AlphDEX Fund II,51.86,2.0548,3.9289,06/14/2019,06/28/2019,
FDTS,First Trust Exchange-Traded AlphDEX Fund II,34.92,1.244,3.4905,06/14/2019,06/28/2019,
FDUS,Fidus Investment Corporation,15.23,1.56,9.6654,06/06/2019,06/21/2019,
FELE,Franklin Electric Co. Inc.,46.51,0.58,1.243,07/31/2019,08/15/2019,
FEM,First Trust Exchange-Traded AlphDEX Fund II,23.74,1.3088,5.4762,06/14/2019,06/28/2019,
