Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
EQRR,ProShares Trust,36.61,0.730108,2.027,06/25/2019,07/02/2019,
ERIE,Erie Indemnity Company,221.55,3.6,1.6466,07/08/2019,07/23/2019,
ESBK,Elmira Savings Bank NY (The),14.46,0.92,6.3274,06/04/2019,06/12/2019,
ESCA,Escalade Incorporated,10.16,0.5,4.9702,05/31/2019,06/10/2019,
ESGD,iShares Trust,61.08,2.343902,3.8838,06/17/2019,06/21/2019,
ESGE,iShares Inc.,31.43,0.520806,1.6768,06/17/2019,06/21/2019,
ESGG,FlexShares Trust,96.17,3.076608,3.2413,06/21/2019,06/27/2019,
ESGU,iShares Trust,63.45,1.177196,1.8802,06/17/2019,06/21/2019,
ESSA,ESSA Bancorp Inc.,14.8,0.4,2.7473,06/13/2019,06/28/2019,
ESXB,Community Bankers Trust Corporation.,7.85,0.12,1.5748,06/20/2019,07/01/2019,
ETFC,E*TRADE Financial Corporation,41.09,0.56,1.3913,08/16/2019,08/26/2019,
EUFN,iShares Trust,16.39,1.410358,8.7654,06/17/2019,06/21/2019,
EVGBC,Eaton Vance NextShares Trust,99.99,0.3828,0.3828,08/01/2019,08/06/2019,
EVLMC,Eaton Vance NextShares Trust II,99.96,0.2424,0.2425,08/01/2019,08/06/2019,
EWBC,East West Bancorp Inc.,39.91,1.1,2.8653,07/31/2019,08/15/2019,
EWJE,iShares Trust,32.3,0.912016,2.8236,06/17/2019,06/21/2019,
EWJV,iShares Trust,22.9822,0.91015,3.9602,06/17/2019,06/21/2019,
EWZS,iShares Trust,17.13,0.452294,2.6373,06/17/2019,06/21/2019,
EXPD,Expeditors International of Washington Inc.,71.43,1,1.4205,05/31/2019,06/17/2019,
EXPE,Expedia Group Inc.,128.6,1.28,1.0095,05/22/2019,06/13/2019,
EXPO,Exponent Inc.,71.39,0.64,0.9136,06/06/2019,06/21/2019,
FAB,First Trust Exchange-Traded AlphaDEX Fund,49.975,0.8,1.638,06/14/2019,06/28/2019,
FAD,First Trust Exchange-Traded AlphaDEX Fund,73.997,0.12,0.1646,06/14/2019,06/28/2019,
FALN,iShares Trust,26.42,1.51458,5.7545,08/01/2019,08/07/2019,
FAST,Fastenal Company,29.98,0.88,3.0055,07/24/2019,08/22/2019,
FBIZ,First Business Financial Services Inc.,23.82,0.6,2.5586,08/02/2019,08/15/2019,
FBMS,The First Bancshares Inc.,30.92,0.32,1.0444,08/08/2019,08/23/2019,
FBNC,First Bancorp,36.32,0.48,1.3563,06/27/2019,07/25/2019,
FBSS,Fauquier Bankshares Inc.,20.7,0.48,2.262,06/13/2019,07/01/2019,
FBZ,First Trust Exchange-Traded AlphDEX Fund II,15.9615,0.5796,3.6707,06/14/2019,06/28/2019,
FCA,First Trust Exchange-Traded AlphDEX Fund II,22.88,1.6552,7.2343,06/14/2019,06/28/2019,
FCAL,First Trust Exchange-Traded Fund III,53.71,1.5,2.7891,07/23/2019,07/31/2019,
FCAN,First Trust Exchange-Traded AlphDEX Fund II,22.41,0.3088,1.3841,06/14/2019,06/28/2019,
FCAP,First Capital Inc.,54.91,0.96,1.7827,06/13/2019,06/28/2019,
FCBC,First Community Bankshares Inc.,33.83,1,3.0506,08/01/2019,08/16/2019,
FCBP,First Choice Bancorp,21.91,0.8,3.7951,08/14/2019,08/29/2019,
FCCO,First Community Corporation,18.5,0.44,2.4189,07/26/2019,08/12/2019,
FCCY,1st Constitution Bancorp (NJ),17.45,0.3,1.7868,08/09/2019,08/23/2019,
FCEF,First Trust Exchange-Traded Fund VIII,21.53,1.17,5.4724,08/13/2019,08/30/2019,
FCFS,FirstCash Inc.,100.26,1,1.0127,08/14/2019,08/30/2019,
FCNCA,First Citizens BancShares Inc.,444.45,1.6,0.3711,06/14/2019,07/01/2019,
FCVT,First Trust Exchange-Traded Fund IV,31.2,0.48,1.5464,07/23/2019,07/31/2019,
FDBC,Fidelity D & D Bancorp Inc.,60.5,1.04,1.7453,05/17/2019,06/10/2019,
FDEF,First Defiance Financial Corp.,27.3,0.76,2.8561,08/15/2019,08/23/2019,
FDIV,First Trust Exchange-Traded Fund IV,49.9,1.98,3.9992,07/23/2019,07/31/2019,
FDNI,First Trust Exchange-Traded Fund II,20.61,0.044,0.2135,06/14/2019,06/28/2019,
FDT,First Trust Exchange-Traded AlphDEX Fund II,50,2.0548,4.1663,06/14/2019,06/28/2019,
FDTS,First Trust Exchange-Traded AlphDEX Fund II,33.89,1.244,3.7743,06/14/2019,06/28/2019,
FDUS,Fidus Investment Corporation,14.69,1.56,10.766,06/06/2019,06/21/2019,
FELE,Franklin Electric Co. Inc.,45.99,0.58,1.297,07/31/2019,08/15/2019,
